Epoch:1210 Score:2629
Epoch:1215 Score:2581
Epoch:1220 Score:2614
Epoch:1225 Score:2651
Epoch:1230 Score:2683
Epoch:1235 Score:2645
Epoch:1240 Score:2664
Epoch:1245 Score:2627
Epoch:1250 Score:2585
Epoch:1255 Score:2573
Epoch:1260 Score:2555
Epoch:1265 Score:2534
Epoch:1270 Score:2580
Epoch:1275 Score:2568
Epoch:1280 Score:2573
Epoch:1285 Score:2538
Epoch:1290 Score:2554
Epoch:1295 Score:2515
Epoch:1300 Score:2529
Epoch:1305 Score:2550
Epoch:1310 Score:2596
Epoch:1315 Score:2610
Epoch:1320 Score:2643
Epoch:1325 Score:2696
Epoch:1330 Score:2723
Epoch:1335 Score:2699
Epoch:1340 Score:2685
Epoch:1345 Score:2652
Epoch:1350 Score:2560
Epoch:1355 Score:2651
Epoch:1360 Score:2708
Epoch:1365 Score:2660
Epoch:1370 Score:2721
Epoch:1375 Score:2719
Epoch:1380 Score:2666
Epoch:1385 Score:2686
Epoch:1390 Score:2649
Epoch:1395 Score:2650
Epoch:1400 Score:2617
Epoch:1405 Score:2670
Epoch:1410 Score:2671
Epoch:1415 Score:2683
Epoch:1420 Score:2715
Epoch:1425 Score:2715
Epoch:1430 Score:2620
Epoch:1435 Score:2568
Epoch:1440 Score:2582
Epoch:1445 Score:2601
Epoch:1450 Score:2606
Epoch:1455 Score:2665
Epoch:1460 Score:2635
Epoch:1465 Score:2621
Epoch:1470 Score:2639
Epoch:1475 Score:2646
Epoch:1480 Score:2661
Epoch:1485 Score:2659
Epoch:1490 Score:2693
Epoch:1495 Score:2701
Epoch:1500 Score:2691
Epoch:1505 Score:2651
Epoch:1510 Score:2636
Epoch:1515 Score:2599
Epoch:1520 Score:2586
Epoch:1525 Score:2611
Epoch:1530 Score:2681
Epoch:1535 Score:2715
Epoch:1540 Score:2724
Epoch:1545 Score:2732
Epoch:1550 Score:2695
Epoch:1555 Score:2684
Epoch:1560 Score:2686
Epoch:1565 Score:2655
Epoch:1570 Score:2720
Epoch:1575 Score:2777
Epoch:1580 Score:2765
Epoch:1585 Score:2690
Epoch:1590 Score:2671
Epoch:1595 Score:2658
Epoch:1600 Score:2637
Epoch:1605 Score:2673
Epoch:1610 Score:2660
Epoch:1615 Score:2701
Epoch:1620 Score:2711
Epoch:1625 Score:2743
Epoch:1630 Score:2722
Epoch:1635 Score:2721
Epoch:1640 Score:2731
Epoch:1645 Score:2771
Epoch:1650 Score:2741
Epoch:1655 Score:2713
Epoch:1660 Score:2738
Epoch:1665 Score:2723
Epoch:1670 Score:2714
Epoch:1675 Score:2737
Epoch:1680 Score:2801
Epoch:1685 Score:2776
Epoch:1690 Score:2763
Epoch:1695 Score:2723
Epoch:1700 Score:2707
Epoch:1705 Score:2704
