Epoch:4640 Score:2357
Epoch:4660 Score:2357
Epoch:4680 Score:2357
Epoch:4700 Score:2347
Epoch:4720 Score:2347
Epoch:4740 Score:2347
Epoch:4760 Score:2347
Epoch:4780 Score:2347
Epoch:4800 Score:2347
Epoch:4820 Score:2347
Epoch:4840 Score:2347
Epoch:4860 Score:2347
Epoch:4880 Score:2347
Epoch:4900 Score:2347
Epoch:4920 Score:2347
Epoch:4940 Score:2340
Epoch:4960 Score:2350
Epoch:4980 Score:2406
Epoch:5000 Score:2415
Epoch:5020 Score:2415
Epoch:5040 Score:2411
Epoch:5060 Score:2415
Epoch:5080 Score:2401
Epoch:5100 Score:2411
Epoch:5120 Score:2401
Epoch:5140 Score:2401
Epoch:5160 Score:2403
Epoch:5180 Score:2399
Epoch:5200 Score:2403
Epoch:5220 Score:2397
Epoch:5240 Score:2401
Epoch:5260 Score:2401
Epoch:5280 Score:2401
Epoch:5300 Score:2401
Epoch:5320 Score:2401
Epoch:5340 Score:2401
Epoch:5360 Score:2405
Epoch:5380 Score:2405
Epoch:5400 Score:2405
Epoch:5420 Score:2396
Epoch:5440 Score:2396
Epoch:5460 Score:2398
Epoch:5480 Score:2350
Epoch:5500 Score:2370
Epoch:5520 Score:2360
Epoch:5540 Score:2370
Epoch:5560 Score:2370
Epoch:5580 Score:2372
Epoch:5600 Score:2382
Epoch:5620 Score:2380
Epoch:5640 Score:2380
Epoch:5660 Score:2390
Epoch:5680 Score:2380
Epoch:5700 Score:2380
Epoch:5720 Score:2380
Epoch:5740 Score:2380
Epoch:5760 Score:2392
Epoch:5780 Score:2382
Epoch:5800 Score:2382
Epoch:5820 Score:2392
Epoch:5840 Score:2392
Epoch:5860 Score:2382
Epoch:5880 Score:2392
Epoch:5900 Score:2387
Epoch:5920 Score:2385
Epoch:5940 Score:2385
Epoch:5960 Score:2395
Epoch:5980 Score:2379
Epoch:6000 Score:2385
Epoch:6020 Score:2395
Epoch:6040 Score:2395
Epoch:6060 Score:2395
Epoch:6080 Score:2395
Epoch:6100 Score:2379
Epoch:6120 Score:2385
Epoch:6140 Score:2395
Epoch:6160 Score:2375
Epoch:6180 Score:2385
Epoch:6200 Score:2385
Epoch:6220 Score:2395
Epoch:6240 Score:2385
Epoch:6260 Score:2395
Epoch:6280 Score:2375
Epoch:6300 Score:2385
Epoch:6320 Score:2313
Epoch:6340 Score:2303
Epoch:6360 Score:2307
Epoch:6380 Score:2313
Epoch:6400 Score:2313
Epoch:6420 Score:2313
Epoch:6440 Score:2313
Epoch:6460 Score:2313
Epoch:6480 Score:2311
Epoch:6500 Score:2321
Epoch:6520 Score:2311
Epoch:6540 Score:2321
Epoch:6560 Score:2311
Epoch:6580 Score:2321
Epoch:6600 Score:2313
Epoch:6620 Score:2313
Epoch:6640 Score:2297
